LG	CHR_OLD
50	1
52	1
16	2
77	2
61	3
80	3
84	3
60	4
82	4
20	5
32	5
43	5
65	5
67	5
83	5
91	5
4	6
5	6
8	6
37	6
38	6
45	6
29	7
51	7
62	7
71	7
79	7
13	8
33	8
72	8
81	8
92	8
31	9
40	9
56	9
57	9
75	9
12	10
41	10
68	10
27	11
28	11
36	11
47	11
86	11
90	11
22	12
26	12
66	12
73	12
17	13
48	13
14	14
18	14
53	15
54	15
85	15
94	15
1	16
2	16
3	16
6	16
7	16
70	16
44	17
46	17
63	17
15	18
55	18
93	18
21	19
25	19
69	19
96	19
11	20
30	20
39	20
49	20
64	21
74	21
78	21
88	21
89	21
97	21
23	22
19	23
24	23
35	23
58	23
87	23
9	24
34	25
59	25
95	25
10	26
42	26
76	26
