Nr	Group	Position	Locus	LOD	# Iter.	mu_A	mu_H	mu_B	Variance	% Expl.	Additive	Dominance	GIC
1	1	0.000	i04738Gh	1.75	1	 2.37500	 1.18519	 4.35115	 0.998585	 20.1	-0.988076	-2.17789	0.979
2	1	1.000		1.27	1	 2.21892	 1.20513	 4.44510	 1.06247	 14.9	-1.11309	-2.12688	0.966
3	1	1.504	i04735Gh	1.01	1	 2.11111	 1.22944	 4.45790	 1.09805	 12.1	-1.17340	-2.05506	0.978
4	1	2.504		0.99	1	 2.12536	 1.20493	 4.70077	 1.10000	 11.9	-1.28770	-2.20814	0.942
5	1	3.504		0.98	1	 2.13755	 1.18005	 4.96814	 1.10263	 11.7	-1.41530	-2.37280	0.909
6	1	4.504		0.95	1	 2.14689	 1.15527	 5.25697	 1.10606	 11.5	-1.55504	-2.54666	0.879
7	1	5.504		0.92	1	 2.15249	 1.13124	 5.56192	 1.11041	 11.1	-1.70472	-2.72597	0.853
8	1	6.504		0.88	1	 2.15338	 1.10882	 5.87502	 1.11579	 10.7	-1.86082	-2.90538	0.830
9	1	7.504		0.84	1	 2.14855	 1.08909	 6.18540	 1.12229	 10.2	-2.01842	-3.07788	0.811
10	1	8.504		0.78	1	 2.13706	 1.07327	 6.47952	 1.12993	  9.5	-2.17123	-3.23502	0.795
11	1	9.504		0.72	1	 2.11813	 1.06265	 6.74189	 1.13868	  8.8	-2.31188	-3.36736	0.783
12	1	10.504		0.66	1	 2.09137	 1.05841	 6.95647	 1.14843	  8.1	-2.43255	-3.46552	0.774
13	1	11.504		0.59	1	 2.05683	 1.06146	 7.10885	 1.15896	  7.2	-2.52601	-3.52138	0.768
14	1	12.504		0.51	1	 2.01514	 1.07225	 7.18873	 1.16996	  6.3	-2.58680	-3.52969	0.765
15	1	13.504		0.44	1	 1.96753	 1.09057	 7.19240	 1.18107	  5.5	-2.61244	-3.48939	0.766
16	1	14.504		0.37	1	 1.91570	 1.11560	 7.12452	 1.19189	  4.6	-2.60441	-3.40451	0.770
17	1	15.504		0.30	1	 1.86164	 1.14592	 6.99868	 1.20205	  3.8	-2.56852	-3.28424	0.777
18	1	16.504		0.24	1	 1.80735	 1.17975	 6.83668	 1.21124	  3.0	-2.51466	-3.14227	0.788
19	1	17.504		0.19	1	 1.75465	 1.21521	 6.66686	 1.21925	  2.4	-2.45610	-2.99554	0.802
20	1	18.504		0.15	1	 1.70494	 1.25063	 6.52208	 1.22597	  1.9	-2.40857	-2.86288	0.819
21	1	19.504		0.11	1	 1.65918	 1.28471	 6.43805	 1.23136	  1.4	-2.38943	-2.76390	0.840
22	1	20.504		0.09	1	 1.61788	 1.31679	 6.45222	 1.23546	  1.1	-2.41717	-2.71825	0.864
23	1	21.504		0.07	1	 1.58119	 1.34693	 6.60350	 1.23835	  0.9	-2.51116	-2.74542	0.892
24	1	22.504		0.06	1	 1.54900	 1.37598	 6.93212	 1.24009	  0.7	-2.69156	-2.86458	0.923
25	1	23.504		0.05	1	 1.52112	 1.40576	 7.47894	 1.24072	  0.7	-2.97891	-3.09428	0.957
26	1	24.385	i62736Gt	0.06	1	 1.50000	 1.43478	 8.17267	 1.24034	  0.7	-3.33633	-3.40155	0.991
27	1	24.385	i04577Gh	0.06	1	 1.50000	 1.43478	 8.17267	 1.24034	  0.7	-3.33633	-3.40155	0.991
28	1	25.385		0.06	1	 1.49477	 1.42315	 9.26267	 1.23976	  0.8	-3.88395	-3.95557	0.957
29	1	26.385		0.06	1	 1.48874	 1.41094	 10.5879	 1.23919	  0.8	-4.54957	-4.62737	0.930
30	1	27.385		0.07	1	 1.48186	 1.39838	 12.2399	 1.23863	  0.8	-5.37903	-5.46251	0.911
31	1	28.385		0.07	1	 1.47411	 1.38574	 14.3710	 1.23808	  0.9	-6.44843	-6.53680	0.900
32	1	29.385		0.07	1	 1.46554	 1.37325	 17.2544	 1.23754	  0.9	-7.89445	-7.98674	0.897
33	1	30.385		0.08	1	 1.45630	 1.36112	 21.4352	 1.23702	  1.0	-9.98943	-10.0846	0.901
34	1	31.385		0.08	1	 1.44661	 1.34950	 28.1693	 1.23651	  1.0	-13.3613	-13.4585	0.913
35	1	32.385		0.08	1	 1.43674	 1.33842	 41.1197	 1.23602	  1.1	-19.8415	-19.9398	0.933
36	1	33.385		0.09	1	 1.42698	 1.32790	 77.3011	 1.23554	  1.1	-37.9371	-38.0362	0.961
37	1	34.385		0.09	1	 1.41757	 1.31786	 841.319	 1.23507	  1.1	-419.951	-420.050	0.996
38	1	34.484	i60774Gt		1								1.000
39	1	35.484		0.23	1	 1.37964	-0.139489	 1687.31	 1.21338	  2.9	-842.965	-844.484	0.967
40	1	36.484		0.14	1	 1.27687	 1.08605	 306.748	 1.22700	  1.8	-152.735	-152.926	0.946
41	1	37.484		0.33	1	 1.10961	 3.06273	-778.146	 1.19796	  4.1	 389.628	 391.581	0.939
42	1	38.484		0.79	1	 0.982519	 4.57009	-1733.04	 1.12973	  9.6	 867.013	 870.601	0.944
43	1	39.484		1.20	1	 0.960130	 4.85666	-2842.61	 1.07105	 14.3	 1421.79	 1425.68	0.963
44	1	40.484		1.44	1	 0.994344	 4.50142	-16033.4	 1.03900	 16.8	 8017.22	 8020.72	0.994
45	1	40.636	i60203Gb	0.94	1	 1.09091	 1.70833	-1.22226e+06	 1.10743	 11.4	 611130.	 611130.	1.000
46	1	41.636		0.89	1	 0.927219	 1.69231	 186.644	 1.11428	 10.8	-92.8581	-92.0931	0.984
47	1	42.176	i51656Gb	0.94	1	 0.909091	 1.70833	 136.061	 1.10743	 11.4	-67.5761	-66.7768	0.996
