Nr	Group	Position	Locus	LOD	# Iter.	mu_A	mu_H	mu_B	Variance	% Expl.	Additive	Dominance	GIC
1	1	0.000	i49622Gh	0.17	1	 0.420000	 5.14340	 0.526316	 0.625573	  1.1	-0.0531579	 4.67025	0.992
2	1	1.000		0.10	1	 0.443440	-0.0412226	 0.568240	 0.628609	  0.6	-0.0624003	-0.547062	0.967
3	1	2.000		0.10	1	 0.435224	 0.278929	 0.578441	 0.628403	  0.6	-0.0716085	-0.227903	0.961
4	1	3.000		0.13	1	 0.422539	 0.662287	 0.585766	 0.627354	  0.8	-0.0816135	 0.158134	0.975
5	1	3.761	i15572Gh	0.23	1	 0.418182	 1.00000	 0.588235	 0.623280	  1.4	-0.0850267	 0.496791	1.000
6	1	4.761		0.22	1	 0.410847	 0.999233	 0.571166	 0.623632	  1.4	-0.0801594	 0.508227	0.961
7	1	5.761		0.21	1	 0.404711	 0.973092	 0.556547	 0.624144	  1.3	-0.0759180	 0.492463	0.925
8	1	6.761		0.19	1	 0.400558	 0.926702	 0.546539	 0.624765	  1.2	-0.0729903	 0.453153	0.892
9	1	7.761		0.18	1	 0.398548	 0.870059	 0.541618	 0.625423	  1.1	-0.0715353	 0.399976	0.862
10	1	8.761		0.16	1	 0.398315	 0.812762	 0.540796	 0.626062	  1.0	-0.0712405	 0.343206	0.834
11	1	9.761		0.14	1	 0.399311	 0.760852	 0.542514	 0.626652	  0.9	-0.0716011	 0.289939	0.808
12	1	10.761		0.13	1	 0.401054	 0.716727	 0.545352	 0.627188	  0.8	-0.0721488	 0.243524	0.785
13	1	11.761		0.12	1	 0.403221	 0.680450	 0.548303	 0.627677	  0.7	-0.0725410	 0.204688	0.765
14	1	12.761		0.11	1	 0.405634	 0.651004	 0.550750	 0.628128	  0.7	-0.0725584	 0.172812	0.746
15	1	13.761		0.10	1	 0.408212	 0.627067	 0.552357	 0.628551	  0.6	-0.0720726	 0.146782	0.731
16	1	14.761		0.09	1	 0.410937	 0.607375	 0.552967	 0.628954	  0.5	-0.0710151	 0.125423	0.717
17	1	15.761		0.08	1	 0.413819	 0.590855	 0.552529	 0.629340	  0.5	-0.0693551	 0.107681	0.706
18	1	16.761		0.07	1	 0.416881	 0.576640	 0.551054	 0.629712	  0.4	-0.0670869	 0.0926720	0.697
19	1	17.761		0.06	1	 0.420147	 0.564050	 0.548593	 0.630071	  0.4	-0.0642229	 0.0796794	0.691
20	1	18.761		0.05	1	 0.423639	 0.552564	 0.545220	 0.630416	  0.3	-0.0607905	 0.0681344	0.687
21	1	19.761		0.04	1	 0.427364	 0.541786	 0.541025	 0.630743	  0.3	-0.0568304	 0.0575917	0.685
22	1	20.761		0.03	1	 0.431322	 0.531428	 0.536114	 0.631050	  0.2	-0.0523961	 0.0477096	0.685
23	1	21.761		0.03	1	 0.435495	 0.521283	 0.530600	 0.631333	  0.2	-0.0475528	 0.0382352	0.688
24	1	22.761		0.02	1	 0.439851	 0.511221	 0.524604	 0.631588	  0.1	-0.0423763	 0.0289936	0.693
25	1	23.761		0.01	1	 0.444345	 0.501177	 0.518247	 0.631811	  0.1	-0.0369509	 0.0198806	0.700
26	1	24.761		0.01	1	 0.448916	 0.491139	 0.511650	 0.631998	  0.1	-0.0313668	 0.0108558	0.710
27	1	25.761		0.01	1	 0.453491	 0.481145	 0.504924	 0.632146	  0.0	-0.0257165	 0.00193704	0.722
28	1	26.761		0.00	1	 0.457990	 0.471273	 0.498172	 0.632253	  0.0	-0.0200911	-0.00680786	0.736
29	1	27.761		0.00	1	 0.462328	 0.461633	 0.491480	 0.632317	  0.0	-0.0145763	-0.0152706	0.753
30	1	28.761		0.00	1	 0.466421	 0.452354	 0.484918	 0.632340	  0.0	-0.00924846	-0.0233152	0.772
31	1	29.761		0.00	1	 0.470193	 0.443572	 0.478536	 0.632322	  0.0	-0.00417186	-0.0307921	0.793
32	1	30.761		0.00	1	 0.473578	 0.435420	 0.472371	 0.632267	  0.0	 0.000603804	-0.0375548	0.817
33	1	31.761		0.01	1	 0.476529	 0.428011	 0.466441	 0.632177	  0.0	 0.00504417	-0.0434741	0.844
34	1	32.761		0.01	1	 0.479016	 0.421434	 0.460756	 0.632058	  0.1	 0.00912986	-0.0484518	0.873
35	1	33.761		0.01	1	 0.481030	 0.415745	 0.455319	 0.631915	  0.1	 0.0128551	-0.0524291	0.904
36	1	34.761		0.02	1	 0.482579	 0.410964	 0.450129	 0.631753	  0.1	 0.0162253	-0.0553903	0.938
37	1	35.761		0.02	1	 0.483691	 0.407075	 0.445182	 0.631577	  0.1	 0.0192544	-0.0573621	0.975
38	1	36.150	i50312Gb	0.02	1	 0.484013	 0.405794	 0.443324	 0.631506	  0.1	 0.0203447	-0.0578743	0.990
39	1	37.150		0.04	1	 0.491999	 0.411364	 0.387834	 0.630743	  0.3	 0.0520824	-0.0285523	0.961
40	1	38.150		0.08	1	 0.501563	 0.404868	 0.333689	 0.629071	  0.5	 0.0839370	-0.0127577	0.946
41	1	39.150		0.14	1	 0.512520	 0.381279	 0.292125	 0.626675	  0.9	 0.110198	-0.0210436	0.945
42	1	40.150		0.22	1	 0.524013	 0.341608	 0.265794	 0.623570	  1.4	 0.129110	-0.0532960	0.958
43	1	41.150		0.32	1	 0.534147	 0.291876	 0.252527	 0.619633	  2.0	 0.140810	-0.101461	0.986
44	1	41.533	i51926Gb	0.37	1	 0.537037	 0.272727	 0.250000	 0.617914	  2.3	 0.143519	-0.120791	1.000
45	1	42.223	i56930Gb	0.27	1	 0.528302	 0.333333	 0.250000	 0.621565	  1.7	 0.139151	-0.0558176	1.000
46	1	42.510	i54121Gb	0.25	1	 0.525006	 0.341502	 0.250001	 0.622381	  1.6	 0.137503	-0.0460016	0.993
47	1	42.797	i61058Gt	0.23	1	 0.520522	 0.356257	 0.250000	 0.623293	  1.4	 0.135261	-0.0290039	0.996
48	1	42.882	i52961Gb	0.22	1	 0.519024	 0.361737	 0.250000	 0.623567	  1.4	 0.134512	-0.0227751	0.999
