Nr	Group	Position	Locus	LOD	# Iter.	mu_A	mu_H	mu_B	Variance	% Expl.	Additive	Dominance	GIC
1	1	0.000	i49622Gh	0.09	1	 0.0909091	-1.20915	-4.83501e-21	 0.252199	  0.7	 0.0454545	-1.25460	0.992
2	1	1.000		0.08	1	 0.0873970	-0.0932096	 0.00243654	 0.252432	  0.6	 0.0424802	-0.138126	0.967
3	1	2.000		0.08	1	 0.0876820	-0.0704165	 0.000387918	 0.252415	  0.6	 0.0436471	-0.114452	0.961
4	1	3.000		0.07	1	 0.0864308	-0.0628825	-0.000190668	 0.252493	  0.6	 0.0433107	-0.106003	0.975
5	1	3.761	i15572Gh	0.06	1	 0.0833333	 0.00000	 0.00000	 0.252688	  0.5	 0.0416667	-0.0416667	1.000
6	1	4.761		0.07	1	 0.0856530	-0.0348086	 0.00127587	 0.252586	  0.5	 0.0421886	-0.0782730	0.961
7	1	5.761		0.08	1	 0.0888438	-0.0679813	 0.00487971	 0.252451	  0.6	 0.0419820	-0.114843	0.925
8	1	6.761		0.09	1	 0.0925846	-0.0953550	 0.00998997	 0.252296	  0.6	 0.0412973	-0.146642	0.892
9	1	7.761		0.09	1	 0.0964562	-0.114557	 0.0154615	 0.252137	  0.7	 0.0404974	-0.170516	0.862
10	1	8.761		0.10	1	 0.100109	-0.125530	 0.0203030	 0.251985	  0.8	 0.0399032	-0.185736	0.834
11	1	9.761		0.11	1	 0.103350	-0.129805	 0.0239452	 0.251849	  0.8	 0.0397026	-0.193452	0.808
12	1	10.761		0.12	1	 0.106128	-0.129427	 0.0262274	 0.251729	  0.9	 0.0399502	-0.195605	0.785
13	1	11.761		0.12	1	 0.108473	-0.126232	 0.0272487	 0.251625	  0.9	 0.0406124	-0.194093	0.765
14	1	12.761		0.13	1	 0.110451	-0.121576	 0.0272233	 0.251533	  0.9	 0.0416140	-0.190413	0.746
15	1	13.761		0.13	1	 0.112125	-0.116346	 0.0263899	 0.251453	  1.0	 0.0428676	-0.185604	0.731
16	1	14.761		0.13	1	 0.113545	-0.111068	 0.0249693	 0.251381	  1.0	 0.0442881	-0.180325	0.717
17	1	15.761		0.14	1	 0.114746	-0.106018	 0.0231501	 0.251317	  1.0	 0.0457978	-0.174966	0.706
18	1	16.761		0.14	1	 0.115744	-0.101313	 0.0210878	 0.251261	  1.0	 0.0473279	-0.169729	0.697
19	1	17.761		0.14	1	 0.116543	-0.0969704	 0.0189085	 0.251212	  1.1	 0.0488172	-0.164696	0.691
20	1	18.761		0.15	1	 0.117137	-0.0929482	 0.0167127	 0.251172	  1.1	 0.0502123	-0.159873	0.687
21	1	19.761		0.15	1	 0.117513	-0.0891691	 0.0145792	 0.251140	  1.1	 0.0514671	-0.155215	0.685
22	1	20.761		0.15	1	 0.117653	-0.0855367	 0.0125668	 0.251119	  1.1	 0.0525432	-0.150647	0.685
23	1	21.761		0.15	1	 0.117536	-0.0819458	 0.0107161	 0.251109	  1.1	 0.0534101	-0.146072	0.688
24	1	22.761		0.15	1	 0.117144	-0.0782903	 0.00905081	 0.251111	  1.1	 0.0540465	-0.141388	0.693
25	1	23.761		0.15	1	 0.116460	-0.0744692	 0.00757940	 0.251126	  1.1	 0.0544402	-0.136489	0.700
26	1	24.761		0.15	1	 0.115474	-0.0703925	 0.00629693	 0.251156	  1.1	 0.0545887	-0.131278	0.710
27	1	25.761		0.14	1	 0.114185	-0.0659863	 0.00518809	 0.251200	  1.1	 0.0544987	-0.125673	0.722
28	1	26.761		0.14	1	 0.112601	-0.0611976	 0.00423064	 0.251258	  1.0	 0.0541853	-0.119614	0.736
29	1	27.761		0.14	1	 0.110741	-0.0559989	 0.00339950	 0.251330	  1.0	 0.0536706	-0.113069	0.753
30	1	28.761		0.13	1	 0.108634	-0.0503908	 0.00267077	 0.251416	  1.0	 0.0529817	-0.106043	0.772
31	1	29.761		0.13	1	 0.106322	-0.0444027	 0.00202535	 0.251512	  0.9	 0.0521485	-0.0985766	0.793
