Nr	Group	Position	Locus	LOD	# Iter.	mu_A	mu_H	mu_B	Variance	% Expl.	Additive	Dominance	GIC
1	1	0.000	i26401Gh	0.89	1	 0.442174	-0.0500509	 1.71137	 2.08475	 18.6	-0.634596	-1.12682	0.985
2	1	1.000		0.99	1	 0.466892	-0.128551	 1.78931	 2.03900	 20.4	-0.661207	-1.25665	0.950
3	1	2.000		1.09	1	 0.492124	-0.194438	 1.86926	 1.99267	 22.2	-0.688570	-1.37513	0.919
4	1	3.000		1.19	1	 0.515827	-0.246328	 1.94911	 1.94701	 23.9	-0.716640	-1.47880	0.893
5	1	4.000		1.29	1	 0.536547	-0.283941	 2.02640	 1.90334	 25.7	-0.744928	-1.56542	0.872
6	1	5.000		1.38	1	 0.553492	-0.307540	 2.09835	 1.86310	 27.2	-0.772428	-1.63346	0.856
7	1	6.000		1.46	1	 0.566414	-0.317378	 2.16167	 1.82791	 28.6	-0.797630	-1.68142	0.844
8	1	7.000		1.53	1	 0.575391	-0.313359	 2.21267	 1.79968	 29.7	-0.818638	-1.70739	0.837
9	1	8.000		1.58	1	 0.580599	-0.295001	 2.24736	 1.78045	 30.5	-0.833381	-1.70898	0.834
10	1	9.000		1.60	1	 0.582138	-0.261696	 2.26200	 1.77221	 30.8	-0.839931	-1.68376	0.836
11	1	10.000		1.59	1	 0.579938	-0.213171	 2.25372	 1.77652	 30.6	-0.836891	-1.63000	0.843
12	1	11.000		1.54	1	 0.573783	-0.150013	 2.22133	 1.79407	 29.9	-0.823774	-1.54757	0.854
13	1	12.000		1.47	1	 0.563411	-0.0740407	 2.16588	 1.82435	 28.7	-0.801236	-1.43869	0.870
14	1	13.000		1.37	1	 0.548672	 0.0116556	 2.09078	 1.86558	 27.1	-0.771056	-1.30807	0.891
15	1	13.960	i31995Gh	1.27	1	 0.530511	 0.0993391	 2.00510	 1.91281	 25.3	-0.737296	-1.16847	0.915
16	1	14.960		1.26	1	 0.542885	 0.0832867	 2.01867	 1.91319	 25.3	-0.737894	-1.19749	0.882
17	1	15.960		1.26	1	 0.556189	 0.0669709	 2.03182	 1.91364	 25.2	-0.737814	-1.22703	0.850
18	1	16.960		1.26	1	 0.570417	 0.0504212	 2.04451	 1.91417	 25.2	-0.737045	-1.25704	0.821
19	1	17.960		1.26	1	 0.585521	 0.0336978	 2.05672	 1.91480	 25.2	-0.735597	-1.28742	0.794
20	1	18.960		1.26	1	 0.601380	 0.0169121	 2.06841	 1.91555	 25.2	-0.733515	-1.31798	0.769
21	1	19.960		1.26	1	 0.617753	 0.000256077	 2.07955	 1.91644	 25.1	-0.730900	-1.34840	0.746
22	1	20.960		1.26	1	 0.634215	-0.0159508	 2.09010	 1.91750	 25.1	-0.727941	-1.37811	0.726
23	1	21.960		1.25	1	 0.650049	-0.0311915	 2.09998	 1.91877	 25.0	-0.724968	-1.40621	0.707
24	1	22.960		1.25	1	 0.664090	-0.0446481	 2.10913	 1.92028	 25.0	-0.722520	-1.43126	0.690
25	1	23.960		1.24	1	 0.674507	-0.0550570	 2.11741	 1.92206	 24.9	-0.721451	-1.45102	0.675
26	1	24.960		1.24	1	 0.678520	-0.0605250	 2.12465	 1.92416	 24.8	-0.723067	-1.46211	0.662
27	1	25.960		1.23	1	 0.672101	-0.0583427	 2.13062	 1.92658	 24.7	-0.729258	-1.45970	0.651
28	1	26.960		1.23	1	 0.649841	-0.0449129	 2.13498	 1.92927	 24.6	-0.742569	-1.43732	0.641
29	1	27.960		1.22	1	 0.605361	-0.0160545	 2.13736	 1.93210	 24.5	-0.765999	-1.38741	0.634
30	1	28.960		1.22	1	 0.532881	 0.0319197	 2.13740	 1.93480	 24.4	-0.802261	-1.30322	0.628
31	1	29.960		1.21	1	 0.430332	 0.100116	 2.13496	 1.93694	 24.3	-0.852313	-1.18253	0.624
32	1	30.960		1.21	1	 0.303076	 0.184637	 2.13029	 1.93807	 24.3	-0.913609	-1.03205	0.622
33	1	31.960		1.21	1	 0.165156	 0.275874	 2.12417	 1.93787	 24.3	-0.979509	-0.868791	0.622
34	1	32.960		1.21	1	 0.0352134	 0.361365	 2.11765	 1.93632	 24.4	-1.04122	-0.715066	0.624
35	1	33.960		1.22	1	-0.0711583	 0.430911	 2.11161	 1.93379	 24.5	-1.09138	-0.589314	0.627
36	1	34.960		1.23	1	-0.146772	 0.480043	 2.10650	 1.93075	 24.6	-1.12663	-0.499819	0.633
37	1	35.960		1.23	1	-0.192669	 0.509756	 2.10228	 1.92765	 24.7	-1.14747	-0.445049	0.640
38	1	36.960		1.24	1	-0.214525	 0.524037	 2.09866	 1.92477	 24.8	-1.15659	-0.418031	0.649
39	1	37.960		1.24	1	-0.219119	 0.527504	 2.09528	 1.92226	 24.9	-1.15720	-0.410576	0.659
40	1	38.960		1.25	1	-0.212365	 0.524127	 2.09181	 1.92013	 25.0	-1.15209	-0.415593	0.672
41	1	39.960		1.25	1	-0.198709	 0.516854	 2.08800	 1.91836	 25.1	-1.14336	-0.427794	0.687
42	1	40.960		1.26	1	-0.181214	 0.507693	 2.08371	 1.91691	 25.1	-1.13246	-0.443555	0.703
43	1	41.960		1.26	1	-0.161878	 0.497935	 2.07882	 1.91572	 25.2	-1.12035	-0.460537	0.722
44	1	42.960		1.26	1	-0.141952	 0.488373	 2.07329	 1.91475	 25.2	-1.10762	-0.477294	0.742
45	1	43.960		1.26	1	-0.122184	 0.479469	 2.06707	 1.91395	 25.2	-1.09463	-0.492976	0.765
46	1	44.960		1.26	1	-0.103002	 0.471473	 2.06018	 1.91330	 25.3	-1.08159	-0.507114	0.789
47	1	45.960		1.27	1	-0.0846335	 0.464506	 2.05260	 1.91276	 25.3	-1.06862	-0.519479	0.816
48	1	46.960		1.27	1	-0.0671773	 0.458604	 2.04437	 1.91231	 25.3	-1.05577	-0.529992	0.844
49	1	47.960		1.27	1	-0.0506576	 0.453757	 2.03549	 1.91195	 25.3	-1.04308	-0.538662	0.875
50	1	48.960		1.27	1	-0.0350538	 0.449926	 2.02600	 1.91165	 25.3	-1.03053	-0.545549	0.908
51	1	49.960		1.27	1	-0.0203205	 0.447057	 2.01592	 1.91140	 25.3	-1.01812	-0.550746	0.943
52	1	50.960		1.27	1	-0.00639920	 0.445088	 2.00529	 1.91119	 25.3	-1.00584	-0.554356	0.981
53	1	51.439	i11775Gh	1.27	1	 0.00000	 0.444444	 2.00000	 1.91111	 25.3	-1.00000	-0.555556	1.000
54	1	51.439	i11771Gh	1.27	1	 0.00000	 0.444444	 2.00000	 1.91111	 25.3	-1.00000	-0.555556	1.000
55	1	52.439		1.26	1	-0.0252725	 0.429665	 2.00024	 1.91403	 25.2	-1.01276	-0.557820	0.983
56	1	53.206	i11789Gh	1.25	1	 0.00000	 0.400000	 2.00000	 1.92000	 25.0	-1.00000	-0.600000	1.000
57	1	54.206		1.64	1	-3.82301e-05	 0.332657	 2.29728	 1.75523	 31.4	-1.14866	-0.815962	0.983
58	1	54.974	i00801Gh	1.81	1	 0.00000	 0.363636	 2.40000	 1.68727	 34.1	-1.20000	-0.836364	1.000
59	1	54.974	i52487Gb	1.81	1	 0.00000	 0.363636	 2.40000	 1.68727	 34.1	-1.20000	-0.836364	1.000
60	1	55.850	i39523Gh	1.81	1	-0.0274318	 0.356112	 2.39999	 1.68878	 34.0	-1.21371	-0.830166	0.983
61	1	56.722	i29527Gh	1.79	1	 0.00000	 0.333333	 2.40000	 1.69333	 33.9	-1.20000	-0.866667	1.000
62	1	56.722	i24726Gh	1.79	1	 0.00000	 0.333333	 2.40000	 1.69333	 33.9	-1.20000	-0.866667	1.000
63	1	56.961	i20049Gh	1.79	1	 0.00000	 0.333333	 2.40000	 1.69333	 33.9	-1.20000	-0.866667	0.992
64	1	57.961		1.79	1	-3.46529e-05	 0.333153	 2.40021	 1.69333	 33.9	-1.20012	-0.866937	0.985
65	1	58.481	i11842Gh	1.79	1	 0.00000	 0.333333	 2.40000	 1.69333	 33.9	-1.20000	-0.866667	1.000
66	1	58.481	i20574Gh	1.79	1	 0.00000	 0.333333	 2.40000	 1.69333	 33.9	-1.20000	-0.866667	1.000
67	1	58.481	i20039Gh	1.79	1	 0.00000	 0.333333	 2.40000	 1.69333	 33.9	-1.20000	-0.866667	1.000
68	1	59.481		1.81	1	-0.0265692	 0.357805	 2.40032	 1.68839	 34.0	-1.21344	-0.829068	0.983
69	1	60.252	i50076Gb	1.81	1	 0.00000	 0.363636	 2.40000	 1.68727	 34.1	-1.20000	-0.836364	1.000
70	1	61.252		1.55	1	-0.000259084	 0.416550	 2.39121	 1.79078	 30.0	-1.19574	-0.778928	0.971
71	1	62.252		1.26	1	-0.000447581	 0.497143	 2.30401	 1.91704	 25.1	-1.15223	-0.654641	0.964
72	1	63.252		0.96	1	-0.000353776	 0.597914	 2.13821	 2.05150	 19.9	-1.06928	-0.471012	0.979
73	1	63.893	i42616Gh	0.79	1	 0.00000	 0.666667	 2.00000	 2.13333	 16.7	-1.00000	-0.333333	1.000
74	1	63.893	i11898Gh	0.79	1	 0.00000	 0.666667	 2.00000	 2.13333	 16.7	-1.00000	-0.333333	1.000
75	1	64.893		0.75	1	-0.000526647	 0.659993	 1.96177	 2.15154	 16.0	-0.981148	-0.320628	0.967
76	1	65.893		0.71	1	-0.000832531	 0.661705	 1.90406	 2.17408	 15.1	-0.952444	-0.289906	0.948
77	1	66.893		0.66	1	-0.000942095	 0.671716	 1.83031	 2.19962	 14.1	-0.915625	-0.242967	0.944
78	1	67.893		0.61	1	-0.000830839	 0.688895	 1.74577	 2.22649	 13.0	-0.873301	-0.183575	0.954
79	1	68.893		0.55	1	-0.000434379	 0.711369	 1.65635	 2.25309	 12.0	-0.828394	-0.116590	0.978
80	1	69.523	i51333Gb	0.52	1	 0.00000	 0.727273	 1.60000	 2.26909	 11.4	-0.800000	-0.0727273	1.000
