Nr	Group	Position	Locus	LOD	# Iter.	mu_A	mu_H	mu_B	Variance	% Expl.	Additive	Dominance	GIC
1	1	0.000	i26401Gh	0.63	1	 0.908559	 0.991398	 1.66618	 1.22687	  9.5	-0.378810	-0.295971	0.985
2	1	1.000		0.67	1	 0.915565	 0.946272	 1.69025	 1.21944	 10.0	-0.387344	-0.356637	0.950
3	1	2.000		0.71	1	 0.924506	 0.905245	 1.71416	 1.21172	 10.6	-0.394829	-0.414090	0.919
4	1	3.000		0.75	1	 0.934454	 0.869609	 1.73719	 1.20406	 11.2	-0.401366	-0.466211	0.893
5	1	4.000		0.78	1	 0.944565	 0.840231	 1.75855	 1.19682	 11.7	-0.406993	-0.511327	0.872
6	1	5.000		0.82	1	 0.954143	 0.817631	 1.77746	 1.19037	 12.2	-0.411657	-0.548169	0.856
7	1	6.000		0.85	1	 0.962663	 0.802095	 1.79308	 1.18508	 12.6	-0.415210	-0.575778	0.844
8	1	7.000		0.87	1	 0.969739	 0.793785	 1.80460	 1.18129	 12.9	-0.417430	-0.593383	0.837
9	1	8.000		0.88	1	 0.975070	 0.792806	 1.81121	 1.17930	 13.0	-0.418069	-0.600333	0.834
10	1	9.000		0.88	1	 0.978394	 0.799203	 1.81221	 1.17936	 13.0	-0.416909	-0.596100	0.836
11	1	10.000		0.86	1	 0.979454	 0.812912	 1.80710	 1.18161	 12.8	-0.413824	-0.580366	0.843
12	1	11.000		0.84	1	 0.977992	 0.833662	 1.79567	 1.18608	 12.5	-0.408839	-0.553168	0.854
13	1	12.000		0.81	1	 0.973774	 0.860885	 1.77810	 1.19264	 12.0	-0.402164	-0.515053	0.870
14	1	13.000		0.76	1	 0.966641	 0.893641	 1.75504	 1.20099	 11.4	-0.394199	-0.467198	0.891
15	1	13.960	i31995Gh	0.71	1	 0.957021	 0.929090	 1.72872	 1.21026	 10.7	-0.385850	-0.413781	0.915
16	1	14.960		0.71	1	 0.955783	 0.926502	 1.73443	 1.21023	 10.7	-0.389324	-0.418605	0.882
17	1	15.960		0.71	1	 0.954191	 0.924315	 1.73990	 1.21020	 10.7	-0.392853	-0.422730	0.850
18	1	16.960		0.71	1	 0.952121	 0.922625	 1.74510	 1.21017	 10.7	-0.396491	-0.425986	0.821
19	1	17.960		0.71	1	 0.949406	 0.921559	 1.75003	 1.21015	 10.7	-0.400310	-0.428156	0.794
20	1	18.960		0.71	1	 0.945822	 0.921282	 1.75464	 1.21012	 10.7	-0.404409	-0.428949	0.769
21	1	19.960		0.71	1	 0.941068	 0.922015	 1.75892	 1.21010	 10.7	-0.408926	-0.427979	0.746
22	1	20.960		0.71	1	 0.934731	 0.924057	 1.76283	 1.21007	 10.7	-0.414050	-0.424724	0.726
23	1	21.960		0.72	1	 0.926250	 0.927809	 1.76633	 1.21003	 10.7	-0.420041	-0.418481	0.707
24	1	22.960		0.72	1	 0.914867	 0.933811	 1.76937	 1.20997	 10.7	-0.427251	-0.408307	0.690
25	1	23.960		0.72	1	 0.899574	 0.942776	 1.77188	 1.20989	 10.7	-0.436153	-0.392951	0.675
26	1	24.960		0.72	1	 0.879077	 0.955615	 1.77378	 1.20977	 10.8	-0.447352	-0.370814	0.662
27	1	25.960		0.72	1	 0.851846	 0.973400	 1.77498	 1.20958	 10.8	-0.461565	-0.340011	0.651
28	1	26.960		0.72	1	 0.816357	 0.997189	 1.77537	 1.20929	 10.8	-0.479507	-0.298675	0.641
29	1	27.960		0.72	1	 0.771760	 1.02755	 1.77490	 1.20889	 10.8	-0.501571	-0.245781	0.634
30	1	28.960		0.72	1	 0.719147	 1.06367	 1.77361	 1.20835	 10.9	-0.527231	-0.182707	0.628
31	1	29.960		0.73	1	 0.663132	 1.10226	 1.77173	 1.20768	 10.9	-0.554301	-0.115170	0.624
32	1	30.960		0.73	1	 0.612332	 1.13724	 1.76974	 1.20696	 11.0	-0.578706	-0.0537979	0.622
33	1	31.960		0.73	1	 0.576742	 1.16159	 1.76820	 1.20630	 11.0	-0.595727	-0.0108770	0.622
34	1	32.960		0.74	1	 0.562570	 1.17103	 1.76746	 1.20581	 11.0	-0.602444	 0.00601795	0.624
35	1	33.960		0.74	1	 0.569018	 1.16621	 1.76751	 1.20554	 11.1	-0.599247	-0.00205208	0.627
36	1	34.960		0.74	1	 0.590049	 1.15145	 1.76804	 1.20548	 11.1	-0.588996	-0.0275989	0.633
37	1	35.960		0.74	1	 0.618536	 1.13177	 1.76866	 1.20556	 11.1	-0.575062	-0.0618313	0.640
38	1	36.960		0.74	1	 0.649024	 1.11100	 1.76906	 1.20573	 11.1	-0.560020	-0.0980448	0.649
39	1	37.960		0.74	1	 0.678316	 1.09137	 1.76907	 1.20594	 11.0	-0.545379	-0.132322	0.659
40	1	38.960		0.74	1	 0.704939	 1.07390	 1.76861	 1.20616	 11.0	-0.531834	-0.162874	0.672
41	1	39.960		0.73	1	 0.728452	 1.05886	 1.76764	 1.20639	 11.0	-0.519593	-0.189180	0.687
