Nr	Group	Position	Locus	LOD	# Iter.	mu_A	mu_H	mu_B	Variance	% Expl.	Additive	Dominance	GIC
1	1	12.000	i04738Gh	1.75	1	 2.37500	 1.18519	 2.10262	 0.998585	 20.1	 0.136189	-1.05363	0.994
2	1	13.000		2.14	1	 2.37557	 0.968452	 2.42046	 0.949793	 24.0	-0.0224448	-1.42956	0.844
3	1	14.000		2.17	1	 2.37586	 0.919354	 1.88102	 0.946686	 24.2	 0.247420	-1.20909	0.819
4	1	15.000		2.12	1	 2.37541	 0.926034	 1.57595	 0.951912	 23.8	 0.399730	-1.04965	0.921
5	1	15.400	i04714Gh	2.11	1	 2.37506	 0.930717	 1.50007	 0.953780	 23.7	 0.437494	-1.00684	0.997
6	1	16.400		2.08	1	 2.45467	 0.904432	 1.47382	 0.957569	 23.3	 0.490421	-1.05981	0.943
7	1	17.200	i18822Gh	1.77	1	 2.42858	 1.00117	 1.41149	 0.995644	 20.3	 0.508545	-0.918870	0.999
8	1	18.200		1.98	1	 2.34788	 0.859452	 1.57583	 0.969365	 22.4	 0.386026	-1.10240	0.930
9	1	18.400	i04674Gh	1.47	1	 2.11111	 0.923077	 1.57143	 1.03446	 17.2	 0.269841	-0.918193	1.000
10	1	18.400	i65303Gm	1.47	1	 2.11111	 0.923077	 1.57143	 1.03446	 17.2	 0.269841	-0.918193	1.000
11	1	18.900	i35512Gh	2.04	1	 2.42857	 0.923098	 1.50000	 0.962158	 23.0	 0.464284	-1.04119	1.000
12	1	18.900	i49727Gh	2.04	1	 2.42857	 0.923098	 1.50000	 0.962158	 23.0	 0.464284	-1.04119	1.000
13	1	19.300	i26454Gh	2.07	1	 2.37500	 0.923115	 1.46667	 0.959221	 23.2	 0.454166	-0.997719	1.000
14	1	19.700	i04650Gh	1.58	1	 2.00000	 0.833373	 1.61542	 1.02068	 18.3	 0.192289	-0.974338	1.000
15	1	20.700		1.67	1	 2.09417	 0.835566	 1.62218	 1.00919	 19.2	 0.235994	-1.02261	0.960
16	1	21.700		1.73	1	 2.11223	 0.842131	 1.64367	 1.00092	 19.9	 0.234283	-1.03582	0.970
17	1	22.300	i18817Gh	1.79	1	 2.11195	 0.845837	 1.64291	 0.994014	 20.4	 0.234520	-1.03159	1.000
18	1	22.300	i48423Gh	1.79	1	 2.11195	 0.845837	 1.64291	 0.994014	 20.4	 0.234520	-1.03159	1.000
19	1	23.300		1.70	1	 2.09195	 0.829362	 1.64517	 1.00489	 19.6	 0.223390	-1.03920	0.968
20	1	24.300		1.50	1	 2.02127	 0.855981	 1.63466	 1.03049	 17.5	 0.193303	-0.971981	0.971
21	1	24.400	i04633Gh	1.48	1	 2.01213	 0.860314	 1.63340	 1.03352	 17.3	 0.189366	-0.962451	0.973
22	1	24.400	i14472Gh	1.23	1	 2.01268	 0.946438	 1.63230	 1.06687	 14.6	 0.190191	-0.876049	0.973
23	1	25.400		1.75	1	 2.16031	 0.847840	 1.62192	 0.999130	 20.0	 0.269195	-1.04327	0.954
24	1	25.700	i00556Gh	1.76	1	 2.13557	 0.862655	 1.61955	 0.997228	 20.2	 0.258010	-1.01490	0.975
25	1	26.600	i04618Gh	1.80	1	 2.12866	 0.850686	 1.61582	 0.991964	 20.6	 0.256420	-1.02155	0.985
26	1	26.600	i40074Gh	1.11	1	 1.92471	 0.924343	 1.61605	 1.08393	 13.2	 0.154328	-0.846036	0.985
27	1	27.400	i04612Gh	0.72	1	 1.87500	 1.07143	 1.64286	 1.13938	  8.8	 0.116071	-0.687500	1.000
28	1	27.400	i04614Gh	0.70	1	 1.85714	 1.07143	 1.66667	 1.14220	  8.6	 0.0952381	-0.690476	1.000
29	1	27.400	i04615Gh	0.70	1	 1.85714	 1.07143	 1.66667	 1.14220	  8.6	 0.0952381	-0.690476	1.000
30	1	27.400	i18814Gh	0.97	1	 2.16667	 1.07143	 1.56250	 1.10276	 11.7	 0.302083	-0.793155	1.000
31	1	27.800	i04610Gh	0.48	1	 2.03077	 1.21804	 1.44813	 1.17511	  5.9	 0.291316	-0.521410	0.959
32	1	28.300	i04608Gh	0.08	1	 1.63636	 1.45452	 1.35716	 1.23575	  1.1	 0.139599	-0.0422418	1.000
33	1	29.300		0.32	1	 1.83165	 1.16999	 1.48045	 1.19844	  4.1	 0.175601	-0.486057	0.931
34	1	29.600	i04607Gh	0.48	1	 1.87500	 1.10000	 1.50000	 1.17431	  6.0	 0.187500	-0.587500	1.000
35	1	29.600	i24141Gh	0.58	1	 1.58333	 1.00000	 1.71429	 1.16038	  7.1	-0.0654762	-0.648810	1.000
36	1	30.400	i04600Gh	0.08	1	 1.42857	 1.36364	 1.63636	 1.23665	  1.0	-0.103896	-0.168831	1.000
37	1	30.400	i36116Gh	0.08	1	 1.42857	 1.36364	 1.63636	 1.23665	  1.0	-0.103896	-0.168831	1.000
38	1	30.800	i15204Gh	0.08	1	 1.47785	 1.32497	 1.62090	 1.23574	  1.1	-0.0715244	-0.224399	0.945
39	1	31.300	i47111Gh	0.41	1	 1.66667	 1.09091	 1.62500	 1.18497	  5.1	 0.0208333	-0.554924	1.000
40	1	32.300		0.52	1	 1.70441	 1.02350	 1.62512	 1.16943	  6.4	 0.0396449	-0.641260	0.986
41	1	33.000	i04580Gh	0.56	1	 1.70000	 0.999934	 1.62506	 1.16248	  6.9	 0.0374713	-0.662595	1.000
42	1	33.000	i04581Gh	0.56	1	 1.70000	 0.999934	 1.62506	 1.16248	  6.9	 0.0374713	-0.662595	1.000
43	1	34.000		0.79	1	 1.86974	 0.978721	 1.62504	 1.12950	  9.6	 0.122350	-0.768665	0.984
44	1	34.200	i04560Gh	0.79	1	 1.87500	 1.00000	 1.62500	 1.12847	  9.7	 0.125000	-0.750000	1.000
45	1	34.200	i04561Gh	1.00	1	 1.88889	 0.909091	 1.62500	 1.09855	 12.1	 0.131944	-0.847854	1.000
46	1	34.200	i15192Gh	1.00	1	 1.88889	 0.909091	 1.62500	 1.09855	 12.1	 0.131944	-0.847854	1.000
47	1	34.200	i15195Gh	1.00	1	 1.88889	 0.909091	 1.62500	 1.09855	 12.1	 0.131944	-0.847854	1.000
48	1	34.200	i18805Gh	0.93	1	 1.72727	 0.909091	 1.71429	 1.10967	 11.2	 0.00649351	-0.811688	1.000
49	1	34.200	i20533Gh	0.58	1	 1.58333	 1.00000	 1.71429	 1.16038	  7.1	-0.0654762	-0.648810	1.000
50	1	34.200	i39570Gh	0.56	1	 1.70000	 1.00000	 1.62500	 1.16250	  6.9	 0.0375000	-0.662500	1.000
51	1	34.200	i52328Gb	1.00	1	 1.88889	 0.909091	 1.62500	 1.09855	 12.1	 0.131944	-0.847854	1.000
52	1	34.700	i20682Gh	1.42	1	 1.88889	 0.833333	 1.73333	 1.04136	 16.6	 0.0777778	-0.977778	1.000
53	1	34.700	i46301Gh	1.00	1	 1.88889	 0.909091	 1.62500	 1.09855	 12.1	 0.131944	-0.847854	1.000
54	1	35.700		0.99	1	 1.89463	 0.871239	 1.67154	 1.10060	 11.9	 0.111543	-0.911849	0.924
55	1	36.700		0.88	1	 1.86581	 0.879998	 1.69686	 1.11645	 10.6	 0.0844747	-0.901341	0.877
56	1	37.700		0.70	1	 1.79540	 0.931281	 1.70587	 1.14211	  8.6	 0.0447622	-0.819355	0.857
57	1	38.700		0.50	1	 1.68830	 1.01661	 1.70624	 1.17110	  6.3	-0.00897035	-0.680654	0.866
58	1	39.700		0.34	1	 1.56450	 1.12322	 1.70247	 1.19668	  4.2	-0.0689839	-0.510267	0.902
59	1	40.700		0.22	1	 1.45274	 1.23253	 1.69575	 1.21415	  2.8	-0.121502	-0.341711	0.966
60	1	41.100	i04511Gh	0.19	1	 1.41667	 1.27273	 1.69231	 1.21855	  2.5	-0.137821	-0.281760	1.000
61	1	42.100		0.18	1	 1.28692	 1.42986	 1.72945	 1.22011	  2.3	-0.221265	-0.0783197	0.891
62	1	42.400	i25791Gh	0.21	1	 1.23077	 1.58333	 1.63636	 1.21583	  2.7	-0.202797	 0.149767	1.000
63	1	42.400	i37271Gh	0.37	1	 1.20000	 1.58333	 1.77778	 1.19090	  4.7	-0.288889	 0.0944444	1.000
64	1	42.400	i43647Gh	0.49	1	 1.16667	 1.41667	 1.83333	 1.17361	  6.1	-0.333333	-0.0833333	1.000
65	1	42.800	i51656Gb	0.94	1	 0.909091	 1.70833	 77300.0	 1.10743	 11.4	-38649.5	-38648.7	0.988
66	1	42.800	i52210Gb	0.52	1	 1.13713	 1.43785	 1.83333	 1.16952	  6.4	-0.348104	-0.0473789	0.988
67	1	43.600	i33227Gh	0.57	1	 1.09091	 1.46154	 1.83333	 1.16129	  7.0	-0.371212	-0.000582751	1.000
68	1	43.600	i48810Gh	0.57	1	 1.09091	 1.46154	 1.83333	 1.16129	  7.0	-0.371212	-0.000582751	1.000
69	1	43.600	i50346Gb	0.28	1	 1.20000	 1.41667	 1.71429	 1.20483	  3.6	-0.257143	-0.0404762	1.000
70	1	43.600	i50764Gb	0.28	1	 1.20000	 1.41667	 1.71429	 1.20483	  3.6	-0.257143	-0.0404762	1.000
71	1	43.600	i56077Gb	0.49	1	 1.16667	 1.41667	 1.83333	 1.17361	  6.1	-0.333333	-0.0833333	1.000
72	1	44.600		0.43	1	 1.22447	 1.33968	 1.83337	 1.18210	  5.4	-0.304448	-0.189241	0.966
73	1	44.900	i04471Gh	0.42	1	 1.25464	 1.31553	 1.83334	 1.18346	  5.3	-0.289348	-0.228457	0.986
74	1	45.800	i60203Gb	0.94	1	 1.09091	 1.70833	-1.22452e+06	 1.10743	 11.4	 612260.	 612260.	1.000
