Nr	Group	Position	Locus	LOD	# Iter.	mu_A	mu_H	mu_B	Variance	% Expl.	Additive	Dominance	GIC
1	1	0.000	i04738Gh		1								0.979
2	1	1.000		1.60	1	 2.67836	 0.469727	-108.556	 2.00867	 28.5	 55.6170	 53.4084	0.966
3	1	1.504	i04735Gh	1.29	1	 2.40000	 0.500000	-80.0721	 2.14545	 23.6	 41.2360	 39.3360	0.978
4	1	2.504		1.25	1	 2.42766	 0.222751	 57.1246	 2.16441	 23.0	-27.3485	-29.5534	0.942
5	1	3.504		1.29	1	 2.47837	-0.336836	 106.148	 2.14606	 23.6	-51.8348	-54.6500	0.909
6	1	4.504		1.33	1	 2.54283	-0.834946	 121.157	 2.12832	 24.3	-59.3072	-62.6850	0.879
7	1	5.504		1.35	1	 2.61417	-1.28862	 128.370	 2.11657	 24.7	-62.8779	-66.7807	0.853
8	1	6.504		1.37	1	 2.68886	-1.73152	 134.743	 2.11110	 24.9	-66.0270	-70.4474	0.830
9	1	7.504		1.36	1	 2.76311	-2.17960	 142.053	 2.11267	 24.8	-69.6448	-74.5875	0.811
10	1	8.504		1.34	1	 2.83093	-2.63266	 150.532	 2.12317	 24.4	-73.8503	-79.3139	0.795
11	1	9.504		1.29	1	 2.88269	-3.07305	 159.658	 2.14555	 23.6	-78.3877	-84.3434	0.783
12	1	10.504		1.20	1	 2.90380	-3.46063	 168.187	 2.18362	 22.3	-82.6414	-89.0058	0.774
13	1	11.504		1.08	1	 2.87469	-3.72785	 173.984	 2.24113	 20.2	-85.5547	-92.1572	0.768
14	1	12.504		0.92	1	 2.77413	-3.78315	 174.029	 2.31981	 17.4	-85.6275	-92.1847	0.765
15	1	13.504		0.72	1	 2.58802	-3.53490	 164.991	 2.41658	 14.0	-81.2017	-87.3246	0.766
16	1	14.504		0.52	1	 2.32166	-2.93879	 144.600	 2.52151	 10.3	-71.1393	-76.3998	0.770
17	1	15.504		0.34	1	 2.00610	-2.04268	 113.132	 2.61961	  6.8	-55.5629	-59.6117	0.777
18	1	16.504		0.20	1	 1.68847	-0.982513	 73.5629	 2.69694	  4.0	-35.9372	-38.6082	0.788
19	1	17.504		0.11	1	 1.41111	 0.0792269	 29.8302	 2.74656	  2.3	-14.2095	-15.5414	0.802
20	1	18.504		0.07	1	 1.19653	 1.02094	-15.5072	 2.76964	  1.4	 8.35184	 8.17625	0.819
21	1	19.504		0.06	1	 1.04706	 1.78725	-62.8232	 2.77214	  1.3	 31.9351	 32.6753	0.840
22	1	20.504		0.08	1	 0.953144	 2.37513	-116.636	 2.76109	  1.7	 58.7948	 60.2168	0.864
23	1	21.504		0.12	1	 0.901548	 2.80857	-189.338	 2.74229	  2.4	 95.1198	 97.0268	0.892
24	1	22.504		0.16	1	 0.879986	 3.11942	-319.086	 2.71985	  3.2	 159.983	 162.223	0.923
25	1	23.504		0.20	1	 0.878765	 3.33757	-713.739	 2.69633	  4.0	 357.309	 359.768	0.957
26	1	24.385	i62736Gt		1								0.991
27	1	24.385	i04577Gh		1								0.991
28	1	25.385		0.19	1	 0.936972	-1.52078	 1452.40	 2.70179	  3.8	-725.732	-728.189	0.957
29	1	26.385		0.22	1	 0.998288	-2.04195	 977.199	 2.68095	  4.6	-488.101	-491.141	0.930
30	1	27.385		0.27	1	 1.06874	-2.64182	 884.403	 2.65695	  5.4	-441.667	-445.378	0.911
31	1	28.385		0.31	1	 1.13198	-3.18068	 882.734	 2.63540	  6.2	-440.801	-445.114	0.900
32	1	29.385		0.32	1	 1.16026	-3.42177	 892.058	 2.62576	  6.6	-445.449	-450.031	0.897
33	1	30.385		0.31	1	 1.13680	-3.22181	 884.005	 2.63376	  6.3	-441.434	-445.793	0.901
34	1	31.385		0.27	1	 1.07573	-2.70130	 881.998	 2.65458	  5.5	-440.461	-444.238	0.913
35	1	32.385		0.23	1	 1.00501	-2.09912	 959.696	 2.67866	  4.7	-479.345	-482.450	0.933
36	1	33.385		0.19	1	 0.942456	-1.56734	 1359.71	 2.69993	  3.9	-679.385	-681.895	0.961
37	1	34.385		0.16	1	 0.893082	-1.14871	 11462.9	 2.71667	  3.3	-5731.02	-5733.07	0.996
38	1	34.484	i60774Gt		1								1.000
39	1	35.484		0.09	1	 0.830666	-0.662973	 1709.73	 2.75773	  1.9	-854.451	-855.944	0.967
40	1	36.484		0.06	1	 0.711134	 0.541820	 333.020	 2.77647	  1.2	-166.154	-166.324	0.946
41	1	37.484		0.16	1	 0.512655	 3.01440	-1017.98	 2.71765	  3.3	 509.246	 511.748	0.939
42	1	38.484		0.48	1	 0.323284	 6.04556	-2884.00	 2.53928	  9.6	 1442.16	 1447.89	0.944
43	1	39.484		0.86	1	 0.293017	 7.45755	-5544.13	 2.34670	 16.5	 2772.21	 2779.37	0.963
44	1	40.484		1.07	1	 0.385492	 7.07097	-32942.7	 2.24783	 20.0	 16471.5	 16478.2	0.994
45	1	40.636	i60203Gb	0.40	1	 0.444444	 1.33333	-499304.	 2.58586	  8.0	 249652.	 249653.	1.000
46	1	41.636		0.40	1	 0.391802	 650.105	-6.00817e+06	 2.58586	  8.0	 3.00409e+06	 3.00474e+06	0.984
47	1	42.176	i51656Gb		1								0.996
48	1	42.176	i63393Gm		1								0.996
49	1	42.176	i51286Gb		1								0.996
50	1	43.176		0.50	1	 0.334747	 3.15578	-572.153	 2.52960	 10.0	 286.244	 289.065	0.959
51	1	44.176		0.53	1	 0.257769	 3.48741	-352.304	 2.51279	 10.6	 176.281	 179.511	0.926
52	1	45.176		0.57	1	 0.169647	 3.83749	-286.540	 2.49619	 11.2	 143.355	 147.023	0.897
53	1	46.176		0.59	1	 0.0742100	 4.17428	-257.705	 2.48200	 11.7	 128.889	 132.989	0.873
54	1	47.176		0.61	1	-0.0194426	 4.44285	-240.296	 2.47357	 12.0	 120.138	 124.601	0.853
55	1	48.176		0.61	1	-0.0961277	 4.56916	-223.694	 2.47496	 11.9	 111.799	 116.464	0.837
56	1	49.176		0.58	1	-0.137816	 4.48466	-202.278	 2.48924	 11.4	 101.070	 105.692	0.825
57	1	50.176		0.53	1	-0.131902	 4.16683	-174.244	 2.51631	 10.4	 87.0558	 91.3545	0.817
58	1	51.176		0.46	1	-0.0792329	 3.66340	-141.321	 2.55204	  9.2	 70.6211	 74.3638	0.814
59	1	52.176		0.39	1	 0.00615309	 3.07054	-107.129	 2.59023	  7.8	 53.5677	 56.6321	0.815
60	1	53.176		0.32	1	 0.105452	 2.48344	-74.8909	 2.62555	  6.6	 37.4982	 39.8762	0.820
61	1	54.176		0.27	1	 0.203444	 1.96280	-46.1451	 2.65516	  5.5	 23.1743	 24.9336	0.829
62	1	55.176		0.23	1	 0.291495	 1.53185	-20.7224	 2.67842	  4.7	 10.5069	 11.7473	0.842
63	1	56.176		0.20	1	 0.366430	 1.18945	 2.85167	 2.69597	  4.1	-1.24262	-0.419605	0.859
64	1	57.176		0.17	1	 0.428282	 0.923407	 27.3992	 2.70891	  3.6	-13.4854	-12.9903	0.881
65	1	58.176		0.16	1	 0.478515	 0.718899	 58.6880	 2.71829	  3.3	-29.1047	-28.8643	0.907
66	1	59.176		0.15	1	 0.518998	 0.562249	 113.785	 2.72504	  3.0	-56.6331	-56.5898	0.937
