Nr	Group	Position	Locus	LOD	# Iter.	mu_A	mu_H	mu_B	Variance	% Expl.	Additive	Dominance	GIC
1	1	0.000	i49622Gh	0.25	1	 1.04000	 14.7824	 1.26316	 3.22745	  1.6	-0.111579	 13.6309	0.992
2	1	1.000		0.05	1	 1.08984	 1.11201	 1.33403	 3.26795	  0.3	-0.122093	-0.0999266	0.967
3	1	2.000		0.11	1	 1.05865	 1.78210	 1.37317	 3.25695	  0.7	-0.157258	 0.566194	0.961
4	1	3.000		0.33	1	 1.01628	 3.11151	 1.40278	 3.21037	  2.1	-0.193249	 1.90198	0.975
5	1	3.761	i15572Gh	0.69	1	 1.01818	 4.00000	 1.41176	 3.13835	  4.3	-0.196791	 2.78503	1.000
6	1	4.761		0.70	1	 0.977296	 4.10461	 1.30132	 3.13712	  4.3	-0.162014	 2.96529	0.961
7	1	5.761		0.68	1	 0.940111	 4.06119	 1.19726	 3.14149	  4.2	-0.128576	 2.99251	0.925
8	1	6.761		0.63	1	 0.912128	 3.88232	 1.11481	 3.15088	  3.9	-0.101340	 2.86885	0.892
9	1	7.761		0.57	1	 0.895658	 3.61626	 1.06075	 3.16340	  3.5	-0.0825469	 2.63805	0.862
10	1	8.761		0.50	1	 0.889716	 3.31853	 1.03281	 3.17698	  3.1	-0.0715472	 2.35727	0.834
11	1	9.761		0.43	1	 0.891668	 3.02994	 1.02390	 3.19012	  2.7	-0.0661148	 2.07216	0.808
12	1	10.761		0.37	1	 0.898794	 2.77165	 1.02644	 3.20205	  2.3	-0.0638231	 1.80904	0.785
13	1	11.761		0.32	1	 0.909026	 2.55022	 1.03449	 3.21257	  2.0	-0.0627326	 1.57846	0.765
14	1	12.761		0.28	1	 0.921035	 2.36419	 1.04408	 3.22173	  1.7	-0.0615212	 1.38163	0.746
15	1	13.761		0.24	1	 0.934067	 2.20883	 1.05281	 3.22969	  1.5	-0.0593738	 1.21539	0.731
16	1	14.761		0.20	1	 0.947743	 2.07861	 1.05940	 3.23666	  1.3	-0.0558306	 1.07503	0.717
